EvidenceGroup,Session,Case,TruthRow,BestEventRow,FootprintPixels,FootprintAreaUm2,PositiveChangedPixelsDuringSupport,NegativeChangedPixelsDuringSupport,PeakPositiveFraction,MinimumNegativeFraction,PeakNetFraction,NativePrePositiveFraction,NativePreNegativeFraction,NativePreNetFraction
evidence,FB2312-baseline-awake,growing_clean,1,20,16406,90602.135,7496,0,0.0547350726501068,0,0.0547350726501068,0.0352017833552122,0,0.0352017833552122
evidence,M400-01-baseline-awake,growing_clean,1,14,7882,177837.625,1917,0,0.0286535283142386,0,0.0286535283142386,0.0114182827663608,0,0.0114182827663608
evidence,M400-01-baseline-awake,shrinking_clean,1,14,5859,132193.6875,1922,0,0.0372736681850731,0,0.0372736681850731,0.025001151524337,0,0.025001151524337
evidence,M401-01-baseline-awake,growing_clean,1,6,5292,119400.75,1928,0,0.0451793348308094,0,0.0451793348308094,0.00185124374913308,0,0.00185124374913308
evidence,M401-01-baseline-awake,shrinking_clean,1,5,4202,94807.625,1923,0,0.0564306502854858,0,0.0564306502854858,0.00314473715049537,0,0.00314473715049537
prior-evidence,M400-01-baseline-awake,moving_clean,8,14,2726,61505.375,1551,0,0.0468617391635692,0,0.0468617391635692,0.000792677185731879,0,0.000792677185731879
prior-evidence,M400-01-baseline-awake,smooth_pairs,1,6,2188,49366.75,1009,0,0.0925323087670276,0,0.0925323087670276,0.00493680568928388,0,0.00493680568928388
prior-evidence,M400-01-baseline-awake,smooth_pairs,2,13,3224,72741.5,1009,0,0.0597074937373807,0,0.0597074937373807,0.0204855206788475,0,0.0204855206788475
prior-evidence,M400-01-baseline-awake,smooth_pairs,6,43,4646,104825.375,1009,0,0.0391944965311245,0,0.0391944965311245,0.00211886551953494,0,0.00211886551953494
prior-evidence,M401-01-baseline-awake,smooth_pairs,2,5,3528,79600.5,1009,0,0.056891053760724,0,0.056891053760724,0.0190549752263778,0,0.0190549752263778
prior-evidence,M401-01-baseline-awake,smooth_pairs,3,6,2712,61189.5,1009,0,0.0728324768929295,0,0.0728324768929295,0.00225667802607071,0,0.00225667802607071
prior-evidence,M401-01-baseline-awake,smooth_pairs,5,7,4022,90746.375,1009,0,0.0486437506577457,0,0.0486437506577457,0.000728964068387395,0,0.000728964068387395
