RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,AmbiguousTrackingEvents,TrackingNotAssessedEvents,AmbiguousSiteAssignmentEvents,SiteAssignmentNotAssessedEvents,ShapeChangeLinkedEvents,ShapeChangeTrackingNotAssessedEvents,PotentialGapContinuationEvents,GapReviewNotAssessedEvents,Session,Case
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,sink,196,100,100,96,0,0.510204081632653,0.510204081632653,102,94,0,102,0,0,196,0,196,0,196,0,196,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,51,26,26,25,0,0.509803921568627,0.509803921568627,0,0,51,7,0,23,0,2,0,30,0,8,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/shrinking_clean,sink,195,100,100,95,0,0.512820512820513,0.512820512820513,102,93,0,101,0,0,195,0,195,0,195,0,195,M400-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/shrinking_clean,surge,51,28,28,23,0,0.549019607843137,0.549019607843137,0,0,51,7,0,24,0,2,0,30,0,8,0,M400-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M401-01-baseline-awake/growing_clean,sink,127,57,57,70,0,0.448818897637795,0.448818897637795,51,76,0,70,0,0,127,0,127,0,127,0,127,M401-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M401-01-baseline-awake/growing_clean,surge,12,8,8,4,0,0.666666666666667,0.666666666666667,0,0,12,0,0,4,0,0,0,7,0,1,0,M401-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M401-01-baseline-awake/shrinking_clean,sink,114,55,55,59,2,0.482456140350877,0.482456140350877,45,69,0,61,0,0,114,0,114,0,114,0,114,M401-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M401-01-baseline-awake/shrinking_clean,surge,12,8,8,4,0,0.666666666666667,0.666666666666667,0,0,12,0,0,3,0,0,0,7,0,1,0,M401-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2411/growing_clean,sink,10,5,5,5,0,0.5,0.5,2,8,0,4,0,0,10,0,10,0,10,0,10,FB2411,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2411/growing_clean,surge,12,5,5,7,1,0.416666666666667,0.416666666666667,0,0,12,0,0,11,0,0,0,6,0,1,0,FB2411,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2411/shrinking_clean,sink,11,6,6,5,0,0.545454545454545,0.545454545454545,6,5,0,2,0,0,11,0,11,0,11,0,11,FB2411,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2411/shrinking_clean,surge,11,3,3,8,1,0.272727272727273,0.272727272727273,0,0,11,0,0,10,0,0,0,4,0,1,0,FB2411,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2312-baseline-awake/growing_clean,sink,317,153,153,164,2,0.482649842271293,0.482649842271293,152,165,0,207,0,0,317,0,317,0,317,0,317,FB2312-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2312-baseline-awake/growing_clean,surge,40,27,27,13,5,0.675,0.675,0,0,40,8,0,14,0,3,0,13,0,8,0,FB2312-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2312-baseline-awake/shrinking_clean,sink,310,153,153,157,2,0.493548387096774,0.493548387096774,147,163,0,198,0,0,310,0,310,0,310,0,310,FB2312-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/FB2312-baseline-awake/shrinking_clean,surge,39,25,25,14,5,0.641025641025641,0.641025641025641,0,0,39,8,0,13,0,3,0,12,0,8,0,FB2312-baseline-awake,shrinking_clean
