Session,Role,Case,EventType,TotalRetainedEvents,TotalRecurringSites,IntersectingEvents,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredAmplitudeFraction,BaselineStatus,TruthEligibleFraction
M400-01-baseline-awake,BOI_reference,growing_clean,sink,196,55,1,0.478270943823696,151,114,148,0.137403113782433,valid,0.75132373035755
M400-01-baseline-awake,BOI_reference,growing_clean,surge,51,41,1,0.295085061297324,14,127,152,NaN,insufficient_clean_prebaseline,0.807874060578456
M400-01-baseline-awake,BOI_reference,control_for_growing_clean,sink,196,56,0,0,0,NaN,NaN,NaN,no_intersection,0.745530630835801
M400-01-baseline-awake,BOI_reference,control_for_growing_clean,surge,50,41,1,0.0195211243381368,15,139,150,0.0177495394798463,valid,0.824313937599636
M400-01-baseline-awake,BOI_reference,shrinking_clean,sink,195,56,1,0.48241453489879,148,113,147,0.131193235846073,valid,0.743694488726941
M400-01-baseline-awake,BOI_reference,shrinking_clean,surge,51,41,1,0.202234834717291,14,127,155,NaN,insufficient_clean_prebaseline,0.807304714188112
M400-01-baseline-awake,BOI_reference,control_for_shrinking_clean,sink,196,56,0,0,0,NaN,NaN,NaN,no_intersection,0.745530630835801
M400-01-baseline-awake,BOI_reference,control_for_shrinking_clean,surge,50,41,1,0.0122339452338842,15,139,150,0.0177495394798463,valid,0.824313937599636
M401-01-baseline-awake,BOI_reference,growing_clean,sink,127,44,1,0.53583463567103,98,112,153,NaN,insufficient_clean_prebaseline,0.710601229788203
M401-01-baseline-awake,BOI_reference,growing_clean,surge,12,10,1,0.391629429721718,6,113,150,0.111853057148679,valid,0.901061831017991
M401-01-baseline-awake,BOI_reference,control_for_growing_clean,sink,137,50,0,0,0,NaN,NaN,NaN,no_intersection,0.711569118651788
M401-01-baseline-awake,BOI_reference,control_for_growing_clean,surge,9,8,0,0,0,NaN,NaN,NaN,no_intersection,0.916149510362104
M401-01-baseline-awake,BOI_reference,shrinking_clean,sink,114,44,1,0.497389988652125,86,112,150,NaN,insufficient_clean_prebaseline,0.710387724891824
M401-01-baseline-awake,BOI_reference,shrinking_clean,surge,12,10,1,0.410207033722087,5,110,148,0.0987447875640289,valid,0.903922796629469
M401-01-baseline-awake,BOI_reference,control_for_shrinking_clean,sink,137,50,0,0,0,NaN,NaN,NaN,no_intersection,0.711569118651788
M401-01-baseline-awake,BOI_reference,control_for_shrinking_clean,surge,9,8,0,0,0,NaN,NaN,NaN,no_intersection,0.916149510362104
FB2411,fluorescence_control,growing_clean,sink,10,6,1,0.578315153108161,2,112,152,NaN,insufficient_clean_prebaseline,0.994647173938068
FB2411,fluorescence_control,growing_clean,surge,12,11,0,0,0,NaN,NaN,NaN,no_intersection,0.0128352710947393
FB2411,fluorescence_control,control_for_growing_clean,sink,34,19,0,0,0,NaN,NaN,NaN,no_intersection,0.624496373892023
FB2411,fluorescence_control,control_for_growing_clean,surge,7,7,0,0,0,NaN,NaN,NaN,no_intersection,0.6431737078393
FB2411,fluorescence_control,shrinking_clean,sink,11,7,1,0.573116036505867,2,109,149,NaN,insufficient_clean_prebaseline,0.995366639806608
FB2411,fluorescence_control,shrinking_clean,surge,11,11,0,0,0,NaN,NaN,NaN,no_intersection,0.0132381719811212
FB2411,fluorescence_control,control_for_shrinking_clean,sink,34,19,0,0,0,NaN,NaN,NaN,no_intersection,0.624496373892023
FB2411,fluorescence_control,control_for_shrinking_clean,surge,7,7,0,0,0,NaN,NaN,NaN,no_intersection,0.6431737078393
FB2312-baseline-awake,BOI_reference,growing_clean,sink,317,68,3,0.13640575792202,153,118,135,0.189119848989778,valid,0.777302054011873
FB2312-baseline-awake,BOI_reference,growing_clean,surge,40,19,1,0.16425656632567,20,133,143,0.103870235505943,valid,0.786272679133803
FB2312-baseline-awake,BOI_reference,control_for_growing_clean,sink,366,63,0,0,0,NaN,NaN,NaN,no_intersection,0.734650650762242
FB2312-baseline-awake,BOI_reference,control_for_growing_clean,surge,39,17,0,0,0,NaN,NaN,NaN,no_intersection,0.854397173991806
FB2312-baseline-awake,BOI_reference,shrinking_clean,sink,310,70,4,0.138854825673755,151,123,142,NaN,insufficient_clean_prebaseline,0.773257434296703
FB2312-baseline-awake,BOI_reference,shrinking_clean,surge,39,18,0,0,0,NaN,NaN,NaN,no_intersection,0.787784621387364
FB2312-baseline-awake,BOI_reference,control_for_shrinking_clean,sink,366,63,0,0,0,NaN,NaN,NaN,no_intersection,0.734650650762242
FB2312-baseline-awake,BOI_reference,control_for_shrinking_clean,surge,39,17,0,0,0,NaN,NaN,NaN,no_intersection,0.854397173991806
