EvidenceGroup,Session,Case,TruthRow,SupportFrames,FramesWithSelectedPixels,FramesWithAcceptedPixels,FramesWithRetainedPixels,LongestConsecutiveAcceptedFrames,TruthVolumePixels,SelectedTruthPixelsFraction,AcceptedTruthPixelsFraction,RetainedTruthPixelsFraction,IntersectingThresholdRegions,BelowMinimumAreaRegionRows,BelowCircularityRegionRows,ExcessOutsideTissueRegionRows,AcceptedRegionRows,UnlinkedTruthToTruthEdges,FramesWithUnlinkedTruthToTruthEdge,insufficient_containmentEdges,excessive_area_changeEdges,competing_overlap_blocks_fallbackEdges
evidence,FB2312-baseline-awake,growing_clean,1,60,54,49,11,41,287048,0.6850387391655751,0.6713546166494803,0.1831366182659346,89,38,1,4,50,7,7,2,3,2
evidence,FB2312-baseline-awake,shrinking_clean,1,60,51,46,0,24,287048,0.6534098826677072,0.61939466570051,0.0,75,24,1,3,50,11,10,2,6,3
evidence,FB2411,growing_clean,1,60,45,10,0,6,34748,0.7298261770461609,0.14593645677449063,0.0,47,3,4,31,10,0,0,0,0,0
evidence,FB2411,shrinking_clean,1,60,45,22,0,8,34748,0.7249050305053528,0.3908426384252331,0.0,45,1,3,20,22,1,1,1,0,0
evidence,M400-01-baseline-awake,growing_clean,1,60,53,41,26,29,70256,0.6903182646322022,0.6407993623320428,0.4895809610567069,83,39,2,4,42,3,2,0,3,0
evidence,M400-01-baseline-awake,shrinking_clean,1,60,51,45,24,24,70256,0.6947734001366431,0.621114210885903,0.30887041676155774,100,51,3,3,46,3,3,1,1,1
evidence,M401-01-baseline-awake,growing_clean,1,60,54,44,38,40,70256,0.7118680255067182,0.6740207242086085,0.629981780915509,95,43,5,0,47,3,2,1,1,1
evidence,M401-01-baseline-awake,shrinking_clean,1,60,50,43,39,40,70256,0.7142592803461626,0.6711597585971305,0.6458238442268276,85,39,2,2,44,2,2,1,1,0
prior-evidence,M400-01-baseline-awake,moving_clean,8,60,60,50,10,12,60540,0.8177073009580442,0.6551205814337628,0.1306408985794516,96,35,10,3,51,9,9,2,6,1
prior-evidence,M400-01-baseline-awake,smooth_pairs,1,20,15,12,12,12,20180,0.569573835480674,0.5547571853320119,0.5547571853320119,29,17,0,4,12,0,0,0,0,0
prior-evidence,M400-01-baseline-awake,smooth_pairs,2,20,14,13,13,13,20180,0.6542120911793855,0.6388999008919722,0.6388999008919722,16,3,0,0,13,0,0,0,0,0
prior-evidence,M400-01-baseline-awake,smooth_pairs,3,20,14,12,0,6,20180,0.6422200198216056,0.5510901883052527,0.0,15,1,2,0,12,0,0,0,0,0
prior-evidence,M400-01-baseline-awake,smooth_pairs,4,20,16,13,0,7,20180,0.6298810703666997,0.577998017839445,0.0,21,6,1,0,14,3,2,0,3,0
prior-evidence,M400-01-baseline-awake,smooth_pairs,5,20,14,10,0,9,20180,0.5925173439048563,0.48513379583746286,0.0,22,10,2,2,10,1,1,0,1,0
prior-evidence,M400-01-baseline-awake,smooth_pairs,6,20,15,13,12,13,20180,0.6501982160555005,0.6384539147670961,0.5902378592666006,19,6,0,1,13,1,1,0,1,0
prior-evidence,M401-01-baseline-awake,smooth_pairs,1,20,15,14,0,14,20180,0.6790386521308226,0.6781466798810704,0.0,18,4,0,0,14,1,1,0,0,1
prior-evidence,M401-01-baseline-awake,smooth_pairs,2,20,15,14,12,14,20180,0.6562933597621408,0.6558969276511397,0.5996531219028741,18,3,0,0,15,3,2,1,2,0
prior-evidence,M401-01-baseline-awake,smooth_pairs,3,20,16,14,12,14,20180,0.6392467789890981,0.6367195242814668,0.5983151635282458,18,4,0,0,14,2,2,0,2,0
prior-evidence,M401-01-baseline-awake,smooth_pairs,4,20,14,11,0,7,20180,0.6121902874132805,0.48731417244796826,0.0,35,22,2,1,11,3,3,1,1,1
prior-evidence,M401-01-baseline-awake,smooth_pairs,5,20,16,13,12,12,20180,0.6904856293359762,0.638800792864222,0.5943508424182359,23,9,1,1,13,0,0,0,0,0
prior-evidence,M401-01-baseline-awake,smooth_pairs,6,20,16,13,0,7,20180,0.6897423191278493,0.627601585728444,0.0,28,13,2,0,13,0,0,0,0,0
